ticker,field,value
066570 KS,CIE_DES,"LG Electronics Inc. manufactures and markets digital display equipment and home appliances. The Company produces and markets flat panel televisions, A/V products, washing machines, air conditioners and refrigerators as well as telecommunications equipment such as smart phones and tablets."
068270 KS,CIE_DES,"Celltrion, Inc. produces and sells biosimilar products, as well as consignment processing services for other businesses."
069260 KS,CIE_DES,"TKG Huchems Co.,Ltd. operates as a fine chemical company. The Company manufactures and distributes nitric acid, ammonium nitrate, dinitro toluene, and other related fine chemical core materials. TKG Huchems markets its products worldwide."
069620 KS,CIE_DES,"Daewoong Pharmaceutical Co., Ltd. develops various kinds of medical drugs and vitamin supplements.  The Company's medical drugs are used in areas, such as cardiology, dermatology, anti-biotic, and many other medical areas.  Dae Woong's over-the-counter products include smoking deterrents, vitamins, and minerals."
069960 KS,CIE_DES,"Hyundai Department Store Co.,Ltd. operates department stores under the name of Hyundai Department over nationwide. The Company also produces home shopping programs for cable channels and sells merchandise through home shopping programs."
071050 KS,CIE_DES,"Korea Investment Holdings Co., Ltd. is a financial holding company. The Company operates and controls its financial subsidiaries such as Korea Investment & Securities, Korea Investment Partners, and Korea Investment Mutual Savings Bank."
073240 KS,CIE_DES,"Kumho Tire Co., Inc. designs and produces tires.  The Company's main products include various automobile tires and tubes used in sedan, SUV, RV, truck, and bus.  Kumho Tire also provides racing tires."
078930 KS,CIE_DES,GS Holdings Corp. is a holding company which operates subsidiaries in various business areas.
079550 KS,CIE_DES,"LIG Nex1 Co., Ltd. manufactures military and defense weapon systems.  The Company develops missiles, radio equipment, torpedoes, radar equipment, and other defense products.  LIG Nex1 produces weapons for the global defense industry and operates throughout South Korea."
081660 KS,CIE_DES,"Fila Holdings Corp. designs and markets sports goods. The Company distributes and wholesales sports apparel, footwear, and accessories products. Fila Holdings markets its products worldwide."
241560 KS,CIE_DES,"Doosan Bobcat Inc. manufactures construction equipment. The Company offers loaders, excavators, compressors, drill modules, generators, and other equipment. Doosan Bobcat also manufactures construction machinery."
241590 KS,CIE_DES,"Hwaseung Enterprise Co., Ltd. manufactures athletic shoes through Original Development Manufacturing(ODM) and Original Equipment Manufacturing(OEM). The Company supplies its products to Adidas and Reebok."
251270 KS,CIE_DES,"Netmarble Corporation develops and publishes mobile games. The Company develops and publishes casual games, action, sports games, strategy, simulation games, and social casino games. Netmarble offers services worldwide."
259960 KS,CIE_DES,"Krafton, Inc. operates as a game development company. The Company develops console games, mobile games, computer games, and other related products. Krafton markets its products throughout South Korea."
267250 KS,CIE_DES,"HD Hyundai Co.,Ltd. operates as a oil refining company. The Company provides crude oil refining, petroleum refinery, and other related products. HD Hyundai markets its products worldwide."
271560 KS,CIE_DES,"Orion Corp. of Republic of Korea manufactures and distributes snacks and beverages. The Company offers biscuits, candy, jelly, gum, chocolates, pie, and other products. Orion also engages in movie production and investments."
271940 KS,CIE_DES,"Iljin Hysolus Co., Ltd. operates environmental problem solving businesses. The Company provides hydrogen solutions, CNG solutions, diesel solutions, and other services. Iljin Hysolus conducts businesses in South Korea."
272210 KS,CIE_DES,"Hanwha Systems Co., Ltd. designs, develops, and distributes high-tech systems for the defense industry. The Company manufactures tactical communication systems, radar systems, naval combat systems, electro-optics, and fire control systems. Hanwha Systems markets its products throughout South Korea."
280360 KS,CIE_DES,"Lotte Wellfood Co.,Ltd. operates as a snack food and confectionery manufacturing company. The Company produces frozen confectioneries, ham, sweets, and other related products. Lotte Wellfood also offers ice cream, edible fats and oils, meat and milk processing services."
282330 KS,CIE_DES,"BGF Retail Co., Ltd. operates convenience stores. The Company retails delicatessen, sweets, snacks, beverages, tobacco, and other related products. BGF Retail markets its products throughout South Korea."
014680 KS,CIE_DES,"Hansol Chemical Co., Ltd. manufactures and distributes fine chemicals. The Company produces hydrogen peroxide, sodium hydrosulfite, benzoyl peroxide, hitex sb latex, hanbl nb latex, hansphere, flocculant, organic coagulant, retention agents, and fixing agents. Hansol Chemical also produces electronic materials, tapes, paper and environmental products, and specialty gas."
014820 KS,CIE_DES,"Dongwon Systems Corporation manufactures and distributes containers and packaging products. The Company produces flexible packaging, glass bottles, cans, and other related products. Dongwon Systems also produces industrial films and aluminum foils."
015760 KS,CIE_DES,"Korea Electric Power Corporation (KEPCO) generates, transmits, and distributes electricity to South Korea for a variety of uses. The Company also builds and operates hydro-power, thermal-power, and nuclear power units in South Korea."
016360 KS,CIE_DES,"Samsung Securities Co.,Ltd. provides personalized asset management services. The Company provides brokerage, investment trust, underwriting services, and other services. Samsung Securities also provides cyber trading, mutual funds, asset backed securities issuing, municipal bonds trading services."
016380 KS,CIE_DES,"KG Dongbu Steel manufactures and distributes steel products. The Company produces steel pipes, bar steel, cold rolled galvanized steel, tin plate steel, and other related products. KG Dongbu Steel markets its products worldwide."
017670 KS,CIE_DES,"SK Telecom Co., Ltd. is a Korean mobile and telecommunications operator. The Company provides cellular voice, wireless data, and wireless internet services. SK Telecom also offers fixed line services and platform services."
017800 KS,CIE_DES,"Hyundai Elevator Co., Ltd. (HELCO) manufactures, installs, sells, and services elevators, escalators, moving walkways, automated parking systems, and material handling systems.  The Company also produces screen doors used on platforms in train stations."
018260 KS,CIE_DES,"Samsung SDS Co., Ltd. provides information technology services, such as consulting and technical services. The Company also offers outsourcing services including application outsourcing, IT infrastructure outsourcing, and cloud computing."
018880 KS,CIE_DES,"Hanon Systems manufactures a variety of automotive air control equipment.  The Company's products include air conditioners, heaters, cooling modules, compressors, radiators, fans, evaporators, and condensers. Hanon Systems distributes its products on an original equipment manufacturing (OEM) basis."
019170 KS,CIE_DES,"Shin Poong Pharmaceutical Co., Ltd. manufactures pharmaceutical raw materials and prescription drugs, such as cephalosporin antibiotics, hemostatics, sedative agents, and anti-diabetics."
111770 KS,CIE_DES,"Youngone Corporation sells and exports clothes, outdoor sports wear, shoes and bags using Original Equipment Manufacturer(OEM) located in Bangladesh, China, Vietnam and Thailand.  The company distributes products to global clothing and shoes companies. Youngone operates in Korea."
112610 KS,CIE_DES,CS Wind Corp. manufactures and exports wind towers and aluminum wind tower platforms.
114090 KS,CIE_DES,"Grand Korea Leisure Co., Ltd. operates casino business."
120110 KS,CIE_DES,"Kolon Industries Inc. manufactures a variety of chemical fibers and textiles such as nylon yarns and fabrics, chamude, tire cord fabrics, and air bag fabrics.  The Company also produces films and media materials including polyester films, nylon films, and audio/video tapes.  In addition, Kolon makes engineering plastic products."
128940 KS,CIE_DES,"Hanmi Pharm. Company Ltd. produces pharmaceutical products, including antibiotics, vitamins, and intestinal tonics.  The Company also provides beverages and processes soft capsules for other pharmaceutical firms."
137310 KS,CIE_DES,"SD Biosensor, INC. operates medical device manufacturing businesses. The Company produces electric medical instruments and other products. SD Biosensor conducts businesses across worldwide."
138040 KS,CIE_DES,"Meritz Financial Group Inc is a holding company of Meritz Securities, Meritz Asset Management, Meritz Financial Information Service and et cetera. The Company manages and controls its financial subsidiaries."
138930 KS,CIE_DES,"BNK Financial Group Inc. a holding company, provides a full range of consumer and commercial banking-related financial services. The Company's main businesses include banking, trust banking, and assets management to individuals, businesses, and other financial institutions."
139130 KS,CIE_DES,"DGB Financial Group Inc., a financial holding company, provides a full range of consumer and commercial banking-related financial services.  The Company operates and controls its financial subsidiaries such as Daegu Bank, Daegu Credit Information, and DBG Capital."
139480 KS,CIE_DES,"E-MART Inc. operates discount stores. The Company retails food, clothing, household goods, electronics, and other items. E-MART serves customers through several branch stores in South Korea."
003850 KS,CIE_DES,"Boryung Corporation operates as a pharmaceutical manufacturing company. The Company produces kanarb, stogar, maxipime, gemzar, genexol, xeloda, antibiotics, cancer drugs, prescription drugs, and other related products. Boryung markets its products worldwide."
004000 KS,CIE_DES,"LOTTE Fine Chemical Co., Ltd. produces general and fine chemicals. The Company produces ammonia, epichlorohydrin, caustic soda, and dimethylformamide. LOTTE Fine Chemical also manufactures chemicals used in pharmaceutical and paint manufacturing areas."
004020 KS,CIE_DES,"Hyundai Steel Company manufactures various types of steel products. The Company produces steel bars, H-beams as well as hot rolled steel, cold rolled steel, and other steel sheet products. Hyundai Steel sells its products to the domestic and overseas markets."
004170 KS,CIE_DES,"SHINSEGAE Inc. operates department stores in South Korea.  The Company retails food, clothing, household goods, electronics, and other items through several branch stores."
004370 KS,CIE_DES,"Nongshim Co., Ltd. manufactures, and markets instant noodles, snacks, and beverages.  The Company also produces refined palm oil and food ingredients."
004490 KS,CIE_DES,"Sebang Global Battery Co., Ltd. specializes in manufacturing storage batteries used in automobiles, motorcycles, electric vehicles, and industrial machinery such as excavators and bulldozers.  The Company provides its products to domestic and overseas markets."
004800 KS,CIE_DES,"Hyosung Corporation manufactures and distributes fiber products. The Company produces terylene, viscose fiber, carbon fiber, acetate fiber, and other related products. Hyosung also operates textile, heavy industry, industrial materials, chemicals, and other businesses."
004990 KS,CIE_DES,"Lotte Corporation operates as a food manufacturing company. The Company produces and sells chewing gum, candy products, biscuits, chocolates, pastrries, and other products. Lotte markets its products worldwide."
