ticker,field,value
APTV UN,CIE_DES,"Aptiv PLC manufactures and distributes vehicle components. The Company produces connector wires, safety restraint systems, pin headers, and underwater towed arrays for automobile and commercial vehicles. Aptiv supplies original equipment manufacturers worldwide."
AR UN,CIE_DES,"Antero Resources Corporation explores, develops, and produces oil and natural gas. The Company focuses on the acquisition, development, and production of unconventional oil and liquids-rich natural gas properties. Antero Resources serves customers in the United States."
ARE UN,CIE_DES,"Alexandria Real Estate Equities, Inc. acquires, manages, expands, and develops office and laboratory space properties. The Company leases its properties to pharmaceutical, biotechnology, diagnostic and personal care products companies, research institutions, and related government agencies. Alexandria Real Estate Equities serves customers in the State of California."
ARES UN,CIE_DES,"Ares Management Corporation operates as an asset management firm. The Firm focuses on tradable credit, direct lending, private equity, and real estate markets. The Company also invest in all levels of a company capital structure-from senior debt to common equity. Ares Management serves university endowments, pension and sovereign wealth funds, banks, and insurance companies."
ARMK UN,CIE_DES,"Aramark provides food and facilities management services. The Company offers uniform, refreshments, work apparel, and cleanroom services to healthcare institutions, universities, school districts, stadiums, and businesses. Aramark serves clients worldwide."
ARW UN,CIE_DES,"Arrow Electronics, Inc. distributes electronic components and computer products to industrial and commercial customers. The Company offers a variety of products including computer systems, peripherals, software, and mass storage products to original equipment manufacturers and commercial customers worldwide."
ASH UN,CIE_DES,"Ashland Inc. operates as a consumer market-focused additives and specialty ingredients company. The Company produces and distributes a wide range of diversified chemicals and thermoplastic resins. Ashland serves the pharmaceutical, personal care, architectural coatings, construction, energy, food, beverage, and nutraceuticals sectors worldwide."
ATO UN,CIE_DES,"Atmos Energy Corporation distributes natural gas. The Company provides natural gas marketing and procurement services to large customers, as well as manages storage and pipeline assets. Atmos Energy serves clients in the United States."
ATR UN,CIE_DES,"AptarGroup, Inc. designs, manufactures, and markets pumps, dispensing closures, and aerosol valves. The Company's products are used for fragrance and cosmetics, personal care, pharmaceutical, household and industrial, and food products. AptarGroup operates worldwide."
ATUS UN,CIE_DES,"Altice USA, Inc. operates as a telecommunication and media company. The Company offers digital cable television, high-speed broadband and ultra-HD video, internet, local news and voice offerings, data, and digital advertising solutions. Altice USA serves customers in the United States."
CZR UW,CIE_DES,"Caesars Entertainment, Inc. owns and operates as a chain of resorts. The Company offers casino, poker, roulette, and other gaming facilities, as well as provides food and beverages services. Caesars Entertainment serves customers in the United States."
D UN,CIE_DES,"Dominion Energy, Inc. produces and transports energy products. The Company offers natural gas and electric energy transmission, gathering, and storage solutions. Dominion Energy serves customers in the United States."
DAL UN,CIE_DES,"Delta Air Lines, Inc. provides scheduled air transportation for passengers, freight, and mail over a network of routes. The Company offers flight status information, bookings, baggage handling, and other related services. Delta Air Lines serves customers worldwide."
DAR UN,CIE_DES,"Darling Ingredients Inc. collects and recycles animal processing by-products and used restaurant cooking oil. The Company also provides grease trap collection services to restaurants. Darling processes such raw materials into finished products such as tallow, meat and bone meal, and yellow grease for sale in the United States and overseas."
DASH UN,CIE_DES,"DoorDash, Inc. provides restaurant food delivery services. The Company develops technology to connect customers with merchants through an on-demand food delivery application. DoorDash serves customers in the United States."
DBX UW,CIE_DES,"Dropbox, Inc. designs and develops document management software. The Company offers a platform that enables users to store and share files, photos, videos, songs, and spreadsheets. Dropbox serves customers worldwide."
DCI UN,CIE_DES,"Donaldson Company, Inc. manufactures filtration systems and replacement parts. The Company's products include filters and emission control products for heavy duty mobile equipment, in-plant air cleaning systems, air intake systems for industrial gas turbines, and specialized filters for computer disk drives, aircraft cabins, and semiconductors. Donaldson operates around the world."
DD UN,CIE_DES,"DuPont de Nemours, Inc. provides technology based materials and solutions. The Company offers a diverse range of products, such as construction materials, adhesives, electronic, fabrics, fibers, home garden, medical devices, resins, printing, and consumer products. DuPont de Nemours serves energy, automotive, construction, government, military, safety, and packaging industries globally."
DDOG UW,CIE_DES,"Datadog, Inc. provides software solutions. The Company offers cloud-based monitoring and analytics platform which integrates and automates infrastructure monitoring, application performance monitoring, and log management for real-time observability of customers. Datadog operates worldwide."
DE UN,CIE_DES,"Deere & Company manufactures and distributes a range of agricultural, construction, forestry, and commercial and consumer equipment. The Company supplies replacement parts for its own products and for those of other manufacturers. Deere also provides product and parts financing services. Deere and Company extends its services and products worldwide."
BF/A UN,CIE_DES,"Brown-Forman Corporation manufactures, bottles, imports, exports, and markets a wide variety of alcoholic beverage brands. The Company's products include branded whiskey, vodka, wines, tequila, bourbon, and gin."
BF/B UN,CIE_DES,"Brown-Forman Corporation manufactures, bottles, imports, exports, and markets a wide variety of alcoholic beverage brands. The Company's products include branded whiskey, vodka, wines, tequila, bourbon, and gin."
BFAM UN,CIE_DES,Bright Horizons Family Solutions Inc. provides education services. The Company offers child and other dependent care solutions as part of their employee benefits. Bright Horizons Family Solutions serves students in the United States.
BG UN,CIE_DES,"Bunge Limited operates as a global agribusiness and food company. The Company buys, sells, stores, transports, and processes oilseeds and grains to make protein meal for animal feed and edible oil products for commercial customers. Bunge also produces sugar and ethanol from sugarcane, mills wheat, and corn, as well as sells fertilizers."
BHF UW,CIE_DES,"Brighthouse Financial, Inc. provides insurance and investment management services. The Company offers shield, variable, guaranteed, income, and fixed annuities, as well as life insurance, retirement planning, and financial advisory services. Brighthouse Financial serves customers in the United States."
BIIB UW,CIE_DES,"Biogen Inc. develops, manufactures, and commercializes therapies, focusing on neurology, oncology, and immunology. The Company products address diseases such as multiple sclerosis, non-hodgkin's lymphoma, rheumatoid arthritis, crohn's disease, and psoriasis."
BILL UN,CIE_DES,"BILL Holdings, Inc. operates as a holding company. The Company, through its subsidiaries, offers cloud-based applications that simplifies, digitizes, and automates back-office financial processes for small and mid-sized businesses. BILL Holdings serves customers worldwide."
BIO UN,CIE_DES,"Bio-Rad Laboratories, Inc. operates a chain of laboratories. The Company manufacturers and distributes life science research products, clinical diagnostics, and analytical instrumentation. Bio-Rad Laboratories products and systems separate complex chemical and biological materials, as well as identify, analyze, and purify their components."
BJ UN,CIE_DES,"BJ's Wholesale Club Holdings, Inc. operates as a warehouse club. The Company delivers electronics, furniture, fitness, video games, health, toys, home decor, computers, landscaping, jewelry, and grocery products. BJ's Wholesale Club Holdings serves customers in the United States."
BK UN,CIE_DES,"The Bank of New York Mellon Corporation (BNY Mellon) is a global financial services company. The Company provides asset and wealth management, asset servicing, issuer, clearing, and treasury services for institutions, corporations, and high net worth individuals."
BPOP UW,CIE_DES,"Popular, Inc. is a bank holding company that provides commercial banking services through branches in Puerto Rico, the British Virgin Islands, the Dominican Republic, and the United States mainland. The Company also provides mortgage and consumer finance, lease financing, investment banking, broker and dealer activities, retail financial services, and automated tellers."
BR UN,CIE_DES,"Broadridge Financial Solutions, Inc. provides technology-based outsourcing solutions to the financial services industries. The Company offers a broad range of solutions that help clients serve their retail and institutional customers across the entire investment lifecycle, including pre-trade, trade, and post-trade processing."
