ticker,GICS_SECTOR_NAME,GICS_INDUSTRY_GROUP_NAME,GICS_INDUSTRY_NAME,GICS_SUB_INDUSTRY_NAME
A UN,Health Care,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,Life Sciences Tools & Services
AA UN,Materials,Materials,Metals & Mining,Aluminum
AADI UR,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
AAL UW,Industrials,Transportation,Passenger Airlines,Passenger Airlines
AAN UN,Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Homefurnishing Retail
AAON UW,Industrials,Capital Goods,Building Products,Building Products
AAP UN,Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Automotive Retail
AAPL UW,Information Technology,Technology Hardware & Equipmen,"Technology Hardware, Storage &","Technology Hardware, Storage &"
AAT UN,Real Estate,Equity Real Estate Investment,Diversified REITs,Diversified REITs
ABBV UN,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
ABC UN,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Distributors
ABCB UW,Financials,Banks,Banks,Regional Banks
ABCL UW,Health Care,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,Life Sciences Tools & Services
ABG UN,Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Automotive Retail
ABM UN,Industrials,Commercial & Professional Serv,Commercial Services & Supplies,Environmental & Facilities Ser
ABNB UW,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines"
ABR UN,Financials,Financial Services,Mortgage Real Estate Investmen,Mortgage REITs
ABSI UW,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
ABT UN,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Equipment
ABUS UW,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
AC UN,Financials,Financial Services,Capital Markets,Asset Management & Custody Ban
ACA UN,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering
ACAD UW,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
ACCD UW,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Services
ACCO UN,Industrials,Commercial & Professional Serv,Commercial Services & Supplies,Office Services & Supplies
ACDC UW,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services
ACEL UN,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Casinos & Gaming
ACET UQ,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
ACGL UW,Financials,Insurance,Insurance,Property & Casualty Insurance
ACHC UW,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Facilities
