ticker,NAME,CIE_DES,GICS_SECTOR_NAME,GICS_INDUSTRY_GROUP_NAME,GICS_INDUSTRY_NAME,GICS_SUB_INDUSTRY_NAME
A UN,AGILENT TECHNOLOGIES INC,"Agilent Technologies, Inc. provides core bio-analytical and electronic measurement solutions to the communications, electronics, life sciences, and chemical analysis industries. The Company offers electronic and bio-analytical measurement, semiconductor, and board testing.",Health Care,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,Life Sciences Tools & Services
AA UN,ALCOA CORP,"Alcoa Corporation manufactures metal products. The Company produces and sells bauxite, alumina, and aluminum products. Alcoa serves aluminum industry worldwide.",Materials,Materials,Metals & Mining,Aluminum
AADI UR,AADI BIOSCIENCE INC,"Aadi Bioscience, Inc. operates as a clinical-stage biopharmaceutical company. The Company develops precision therapies for genetically-defined cancers. Aadi Bioscience serves patients in the United States.",Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
AAL UW,AMERICAN AIRLINES GROUP INC,"American Airlines Group Inc. operates an airline. The Company provides scheduled passenger, freight, and mail service. American Airlines Group serves customers in the United States and Canada.",Industrials,Transportation,Passenger Airlines,Passenger Airlines
AAN UN,AARON'S CO INC/THE,"The Aaron's Company, Inc. retails and leases consumer products. The Company offers furniture, electronics, appliances, computers, fitness, tools, and outdoor products. Aaron's serves customers in the United States and Canada.",Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Homefurnishing Retail
AAON UW,AAON INC,"AAON, Inc. designs, manufactures, and markets commercial rooftop air-conditioning, heating and heat recovery equipment, and air-conditioning coils. The Company's products serve the commercial and industrial new construction and replacement markets.",Industrials,Capital Goods,Building Products,Building Products
AAP UN,ADVANCE AUTO PARTS INC,"Advance Auto Parts, Inc. is an automotive aftermarket parts provider. The Company offers auto and replacement parts, oil and fluids, exhaust, fuel systems, engines and ignition, cooling and heating, tools, transmission, drivetrain, and accessories. Advance Auto Parts serves customers in the United States, Canada, Puerto Rico, and the Virgin Islands.",Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Automotive Retail
AAPL UW,APPLE INC,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables and accessories, and sells a variety of related accessories. The Company also offers payment, digital content, cloud and advertising services. Apple Inc.'s customers are primarily in consumer, small & mid-sized business, education, enterprise and government markets worldwide.",Information Technology,Technology Hardware & Equipmen,"Technology Hardware, Storage &","Technology Hardware, Storage &"
AAT UN,AMERICAN ASSETS TRUST INC,"American Assets Trust, Inc. is a full service, vertically integrated and self-administered real estate investment trust. The Company owns, operates, acquires and develops retail and office properties. American Assets Trust serves customers in the States of California and Hawaii.",Real Estate,Equity Real Estate Investment,Diversified REITs,Diversified REITs
ABBV UN,ABBVIE INC,"AbbVie Inc. researches and develops pharmaceutical products. The Company produces pharmaceutical drugs for specialty therapeutic areas such as immunology, chronic kidney disease, hepatitis C, women's health, oncology, and neuroscience. AbbVie also offers treatments for diseases including multiple sclerosis, parkinson's, and alzheimer's disease.",Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
ABC UN,AMERISOURCEBERGEN CORP,"AmerisourceBergen Corporation provides pharmaceutical services. The Company offers brand generic pharmaceuticals, over-the-counter healthcare products, home healthcare supplies and equipment, and related services to healthcare providers. AmerisourceBergen distributes its products internationally.",Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Distributors
ABCB UW,AMERIS BANCORP,"Ameris Bancorp is a multi-bank holding company. The Banks provide a broad range of retail and commercial banking services to its customers, including checking and savings deposits, commercial and consumer loans, trust services, discount brokerage services, and electronic funds transfer services. Ameris Bancorp operates in Georgia, Florida, and Alabama.",Financials,Banks,Banks,Regional Banks
ABCL UW,ABCELLERA BIOLOGICS INC,"AbCellera Biologics Inc. operates as a pharmaceutical company. The Company discovers and develops next generation therapeutic antibodies through combination of technologies including proprietary immunizations, microfluidics, high-throughput imaging, genomics, computation, and laboratory automation. AbCellera Biologics serves customers in Canada.",Health Care,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,Life Sciences Tools & Services
ABG UN,ASBURY AUTOMOTIVE GROUP,"Asbury Automotive Group, Inc. operates as an automotive retailer operating franchises and dealership locations in the United States. The Company offers new and used vehicles, as well as financing and insurance, vehicle maintenance and repair services, replacement parts, and service contracts. Asbury Automotive Group provides dealership for luxury and mid-line import brands.",Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Automotive Retail
ABM UN,ABM INDUSTRIES INC,"ABM Industries Incorporated is a facility services contractor. The Company provides air conditioning, engineering, janitorial, lighting, parking, security, and other outsourced facility services to the commercial, industrial, and institutional customers. ABM Industries serves clients worldwide.",Industrials,Commercial & Professional Serv,Commercial Services & Supplies,Environmental & Facilities Ser
ABNB UW,AIRBNB INC-CLASS A,"Airbnb, Inc. operates an online marketplace for travel information and booking services. The Company offers lodging, home-stay, and tourism services via websites and mobile applications. Airbnb serves clients worldwide.",Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines"
ABR UN,ARBOR REALTY TRUST INC,"Arbor Realty Trust, Inc. is a specialized real estate finance company.  The Company invests in real estate related bridge and mezzanine loans, preferred equity and, in limited cases, discounted mortgage notes and other real estate related assets.",Financials,Financial Services,Mortgage Real Estate Investmen,Mortgage REITs
ABSI UW,ABSCI CORP,AbSci Corporation operates as a synthetic biology company. The Company translates and unifies biologic drug discovery and development processes with its integrated drug creation platform. AbSci serves customers in the United States.,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
ABT UN,ABBOTT LABORATORIES,"Abbott Laboratories discovers, develops, manufactures, and sells a broad and diversified line of health care products and services. The Company's products include pharmaceuticals, nutritional, diagnostics, and vascular products. Abbott markets its products worldwide through affiliates and distributors.",Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Equipment
ABUS UW,ARBUTUS BIOPHARMA CORP,"Arbutus Biopharma Corporation operates as a biopharmaceutical company. The Company specializes in discovering, developing, and commercializing a portfolio of drug candidates for patients suffering from chronic hepatitis B infection. Arbutus Biopharma serves patients and customers in Canada.",Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
AC UN,ASSOCIATED CAPITAL GROUP - A,"Associated Capital Group, Inc. operates as a holding company. The Company, through its subsidiaries, engages in the investment management and institutional research services business. Associated Capital Group conducts business in the United States.",Financials,Financial Services,Capital Markets,Asset Management & Custody Ban
ACA UN,ARCOSA INC,"Arcosa, Inc. provides infrastructure construction services. The Company builds transportation lines, energy projects, and other related properties. Arcosa serves customers in the United States.",Industrials,Capital Goods,Construction & Engineering,Construction & Engineering
ACAD UW,ACADIA PHARMACEUTICALS INC,"ACADIA Pharmaceuticals Inc. operates as a biopharmaceutical company focuses on the discovery, development, and commercialization of small molecule drugs for the treatment of central nervous system disorders. The Company specializes in the treatment of induced dysfunction in parkinson's disease, schizophrenia, neuropathic pain, and glaucoma.",Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
ACCD UW,ACCOLADE INC,"Accolade, Inc. offers software solutions. The Company provides personalized, technology-enabled solutions that help people better understand, navigate, and utilize the healthcare system and their workplace benefits. Accolade serves customers in the United States.",Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Services
ACCO UN,ACCO BRANDS CORP,"Acco Brands Corporation manufactures office products. The Company produces staplers, daily scheduling diaries, shredders, laminating equipment, and presentation boards.",Industrials,Commercial & Professional Serv,Commercial Services & Supplies,Office Services & Supplies
ACDC UW,PROFRAC HOLDING CORP-A,"ProFrac Holding Corp. operates as a holding company. The Company, through its subsidiaries, provides hydraulic fracturing and completion services to upstream oil and gas companies engaged in the exploration and production of North American unconventional oil and natural gas resources.",Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services
ACEL UN,ACCEL ENTERTAINMENT INC,"Accel Entertainment, Inc. operates as a gaming-as-a-service provider. The Company offers slot machine, redemption, and amusement equipment to retail establishments. Accel Entertainment serves customers in the United States.",Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Casinos & Gaming
ACET UQ,ADICET BIO INC,"Adicet Bio, Inc. operates as a clinical-stage bio-pharmaceutical company. The Company designs and develops of off-the-shelf allogeneic gamma delta T cell therapies for cancer and other diseases. Adicet Bio serves customers worldwide.",Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
ACGL UW,ARCH CAPITAL GROUP LTD,"Arch Capital Group Ltd. provides financial services. The Company offers life, health, and property insurance and reinsurance products, as well as mortgage insurance. Arch Capital Group serves customers globally.",Financials,Insurance,Insurance,Property & Casualty Insurance
ACHC UW,ACADIA HEALTHCARE CO INC,"Acadia Healthcare Company, Inc. operates a network of behavioral health centers. The Company provides psychiatric and chemical dependency services, inpatient psychiatric hospitals, residential treatment centers, outpatient clinics, and therapeutic school based programs. Acadia Healthcare serves customers the United States.",Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Facilities
